tarih;duygu;veri;;;
11.03.2020;1;"#kolonya 15 gün önce 1 hafta süreyle Suriyeyle savaştık,nerdeyse Rusyayla kapışıyorduk,raflardan 1 paket makarna bile eksilmedi.Korona virüs sonrası yapılan çılgın alışverişin hiç bir mantıklı izahı yok.Gene de ekonomiyi canlandırma açısından faydası oldu.""";;;
11.03.2020;1;"Korona sadece Twitter da var sanırım  Instagram da herkes eğleniyor.""";;;
11.03.2020;0;"TÜRKİYE DE İLK KORONAVİRÜS VAKASI ARDINDAN VİRÜS HAKKINDA NE DÜŞÜNÜYORSUNUZ?HALKIN NABZI.KORONA DAYI                      https://t.co/YXA4cGRyur #CoronaVirusu""";;;
11.03.2020;0;"klavyem korona kaptı kesbişler olsun aptal eski takır tukur klavyeden yazıyorum selamlar hepinize""";;;
11.03.2020;1;"Korona virüse karşı bağışıklığı güçlendirmek için hangi besinler tüketilmeli? https://t.co/1rX1o939lL""";;;
11.03.2020;0;"Üç bakandan ortak 'Korona virüs' açıklaması: 15 Nisan virüs açısından hassas bir tarih. https://t.co/QMjBMJOmFj""";;;
11.03.2020;0;"#Korona KorOnaVirüsü ,KorOna, KorBuna, Haydi Biz Körüz Gözümüz kapalı, Ama Bakana da Kor o virüs.""";;;
11.03.2020;0;"bizim doktorlar süper ekrana çıkmış korona virüsüne karşı ne içip ne yiyeceğiz onları sayıyor lan iki dakka da çözdüler ya lan olayı""";;;
11.03.2020;0;"Sene 2020 oldu korona geldi ölecez hala aşk acısı çekiyonuz amk""";;;
11.03.2020;1;"Korona virüsüyle ilgili watsapp'ta aşırı komik ses kayıtları dolanıyor. Gülmemeliyim , gülmemeliyim diyerek dinliyorum hahaha""";;;
11.03.2020;1;"Kolera günlerinde aşktan     Korona günlerinde aşka...  Aşk da, hastalık da insanın yazgısı geçmişten geleceğe...""";;;
11.03.2020;0;"İki teknik direktörden korona virüs önlemi  ? ?? ? ???????? https://t.co/M6JhZQItlS""";;;
11.03.2020;1;"Korona'ya karşı edebileceğim dua       Wingardium Leviosa...""";;;
11.03.2020;0;"Korona virüs maske ve dezenfektan stoklarını tüketti, kolonyaya talep arttı https://t.co/m1ASqE9di6""";;;
11.03.2020;0;"Kuzey korede korona virusune yakalanan 2 kisi idam edilmis traji komik. #CoronaVirusu""";;;
11.03.2020;0;"#kolonya #mgros #CoronaVirusu #coronavirus #Korona #COVID19   Bimde   hani kriz vardı hanı kimsenin parası yoktu bu marketleri kim boşalttı ya   Çok tehlikeli bir ülkeyiz yemin ederim corona bundan bihaber ama olsun https://t.co/7qaCvWHL2d""";;;
11.03.2020;0;"Kuş gribi Domuz gribi Deli dana gribi Korona virisü  Her yıl bir şey çıkıyor işte.. \""Dur bakalım ne olacak? \""""";;;
11.03.2020;1;"Türkiye genelinde korona virüse karşı önlemler arttırıldı  https://t.co/Okg9dV29Dj https://t.co/ss1r3W0bTY""";;;
11.03.2020;0;"Gelme hoca korona olmuş olabiliriz. #BeklentimizKOCAMAN""";;;
11.03.2020;0;"Cezaevlerine korona tedbiri koymayın..  Cezaevlerindeki masumlara bir an önce özgürlüklerini geri verin!   Cezaevlerine KoronaTedbiri  @RTErdogan  @dbdevletbahceli  @adalet_bakanlik  @abdulhamitgul  @drfahrettinkoca""";;;
11.03.2020;0;"#korona #tarafsizbolge #TuerkiyeLigiSeyircisizOynansın #Turkiye  Düşensenize ülkeyi virüs sarmış katilin imralıdan viskisini yudumluyor ??""";;;
11.03.2020;0;"“Erdoğan, yapılan büyük şehir hastanelerinin daha çok müşteri çekmesi ve para kazanabilmesi için korona virüsünü ülkeye bilerek sokturmuş.” Diyen bi chp’li çıkmadığı için rabbime şükrediyorum.""";;;
11.03.2020;1;"İşte bizi korona virüsünden kurtaracak o ünlü doktor https://t.co/znqj2mWDWf""";;;
11.03.2020;1;"Giresunda korona morona hicbisi yoktur simdi ne guzel hayvancilik, balikcilik yapip kendi bahcelerinde yetistirdikleri sebzeleri yiyip herseyi dogal dogal tuketiyolardir kendi hallerindedir insanlar. Memleketum uiyy""";;;
11.03.2020;0;"Suriye, Oda Tv ve Korona Virüsgiller https://t.co/G7qjiTJdcd @iastoriaa""";;;
11.03.2020;0;"Korona falan bize işlemez, biz tarihin en ağır darbesini hep en sevdiklerimizden yemişiz.   #kolonya #Corona #koronawirus https://t.co/mzYLQScelI""";;;
11.03.2020;0;"bu abla korona yi kovaladi?? https://t.co/hanyzZkOde""";;;
11.03.2020;1;"Dün 5000 tl lik parfüm sıkarak hava atan kızlar, bugün marketlerde tıraş #kolonya sı da olur diyor ??. Heykeli dikilesi virüsün #korona""";;;
11.03.2020;0;"korona belirtilerinde 24 saat seni düşünmek var mı  biraz duygusal""";;;
11.03.2020;0;"Dusunsene izbandasin. Oksurcegin var. ama oksuremiyosun korona damgasi yememek icin. Anlik bu haldeyim...""";;;
11.03.2020;0;"Korona virüsü konferansı korona virüsü nedeniyle iptal edilmiş.""";;;
11.03.2020;0;"?? Slovakya korona virüs sebebiyle OHAL ilan etti . ??""";;;
11.03.2020;1;"Derse gitmemek için bahane ararken aklıma korona virüsü geldi güzel bahaneymiş. #uü""";;;
11.03.2020;0;"X?st?y?m, qızdırmam yoxdu. Sağlık ocağından x?st?xanaya gönd?rirl?r. Ama x?st?xanaya da korona şübh?si olanlar tökülüşübl?r y?qin. X?st?xanaya getm?yi risk almaq kimi görür?m ?? (Evd? x?st?likd?n öldü, ama korona deyildi)""";;;
11.03.2020;0;"Klopp ve Simeone'den korona [??] selamlaşması #UCL https://t.co/EBsOCqo4JA""";;;
11.03.2020;0;"https://t.co/II6WSC76lK CEZAEVLERİ, KORONA VİRÜSÜ SALGININA KARŞI HAZIRLIKLI MI?   CEZAEVLERİNDEKİ DOLULUK SALGIN İÇİN RİSK OLUŞTURUYOR MU?  @ozan_blk07  @rafet_zeybek  @abdulhamitgul @RTErdogan @drfahrettinkoca @fahrettinaltun @iletisim @TBMMresmi""";;;
11.03.2020;0;"Korona bile geldi, sen gelmedin""";;;
11.03.2020;1;"Sen nelere kadimsin, herkesi yaptın alim varolasın korona ??????""";;;
11.03.2020;0;"#Elazığ’da \""Korona virüsüne\"" karşı dezenfekte önlemi  https://t.co/sIV4kNig30""";;;
11.03.2020;0;"Korona virüsü den dolayı altin dolar düşmedi aksine yükseldi  doların  altını nin yükselişi petrolün  düşüşüne neden olan bu çalkantı  insan inandırıcı gelmiyor bu virüs  çok kötü  bir senaryonun  habercisi olama ihtimali çok yüksek""";;;
11.03.2020;0;"Korona virüsü 'nün sebep olduğu korkulara dair: 1) Özellikle bir süredir ülkemizde sağlık korkularının önemli bir yer tutmaya başladığını söylemeliyiz. Bunlar bazen gıdalar, çeşitli katkı maddeleri, ilaçların yan etkileri, çeşitli tedavi yöntemleri olabilmektedir.""";;;
11.03.2020;0;"Buraya olan gezim korona sebebiyle iptal oldugundan beri hayata bir miktar küstum https://t.co/SuHn6EvEZ7""";;;
11.03.2020;0;"Toplu ölümler,depremler,çığlar,şehitler,çaresiz kalan komşu müslümanlar,ve tüm dünyayı saran korona!!  Salın cezaevlerini syn başkanım!!  KarantinaDeğil TahliyeEdin   @abdulhamitgul @Akparti  @RTErdogan @MAtillaKaya  @dbdevletbahceli @YildizFeti  @metinfeyzioglu @yilmaztunc""";;;
11.03.2020;0;"bu korona önlemi için antibakteriyel jel kullanıyorlar da saygı değer korona virüs bi anlamı var mı sadece sormak istedim""";;;
11.03.2020;0;"İhbar edin!   Son günlerde fırsatçıların temel hijyen ürünlerinde fahiş fiyat artışlarına gittikleri görülüyor. Bu gibi fırsatçılara pirim vermeyin ve ihbar edin. Fırsatçılar, 104 bin TL'ye kadar ceza alıyorlar. Şikayet yeri Ticaret Bakanlığı #ihbaredin #korona #KoronaVirüsü https://t.co/e8QLNmA7uo""";;;
11.03.2020;0;"Korona virüs bak dalgana koçum. Manyak olursun""";;;
11.03.2020;1;"Kolonya giren eve korona girmez.""";;;
11.03.2020;1;"Oy korona korona kaldır beni horona ??""";;;
11.03.2020;0;"Dünya Sağlık Örgütü’ne göre “Korona Virüs Artık Salgın Değil Pandemi” (11 Mart 2020)  Sağlık, Milli Eğitim, Kültür ve Turizm ile Ticaret Bakanları toplandı. “Koronovirüs’teki ciddi risk nedeniyle gerekli tedbirler alınacak” dendi.  Detaylı bilgi: https://t.co/JnjfrYPird""";;;
11.03.2020;0;"Şu korona haberlerini yapmayın gözünüzü seveyim Ya annem etkilenip 10 dk da bir el yıkatıyor ??""";;;
11.03.2020;0;"Bu akşam çok enteresan bir video izledim.  Saddam Hüseyin  !!!  Çin heyetinin ona Korona virüsünden bahs ettiğini ve ancak mikroskopla görüleceği ve akciğer ve solunum yolunu vurup ölümcül olduğunu anlatmışlar_ __ Evet hayret ettim...""";;;
11.03.2020;0;"Wuhanda çıktı yola  Tahran’da verdi mola  Yayıldı sağa sola  Yaktın bizi korona""";;;
11.03.2020;1;"Korona olsan bile öperdim seni""";;;
11.03.2020;0;"Dakika da bir ateşim var mı diye kontrol ediyorum korona olmuşmuyum tribindeyim ?? #coronaturkiye""";;;
11.03.2020;0;"Makarna haricinde İstanbul'da Kadıköy gibi yerlerde tuvalet kağıdı bırakmamışlar! Sağlık Bakanlığının korona virüsünün bulaşma yollarını bir daha anlatması lazım! Birde bunlar daha önce çakıltaşı mı kullanıyorlardı merak ettim!""";;;
11.03.2020;1;"Korona virüsü için Hakan Muhafız nerdesin? İstanbul'u ve Dünyayı kurtarma zamanı ?????? @netflixturkiye""";;;
11.03.2020;0;"Eyyyy Korona sen kimsin ya? https://t.co/B8i9vxAy7V""";;;
11.03.2020;0;"bakın size aşırı güzel türkü söylicem  korona ay korona korona gün korona şirin canım vereyim bana çare buluna""";;;
11.03.2020;0;"ya korona morona anlatıyorsunuz da bence zola bıne mezranım mızı bılıbenda xoeanım""";;;
11.03.2020;0;"Korona virüs ülkelere sağlık üzerinden ayar çekme siyaseti olmaya başladı.""";;;
11.03.2020;0;"korona hoşt ulan""";;;
11.03.2020;0;"Uygun intihar yöntemini bulamadığım için ölemiyorum korona bul beni aslanım""";;;
11.03.2020;0;"yazın sivrisineklerin üzerine sıkmak için aldığım kolonyayı sandıktan çıkarttım korona uza aslanım""";;;
11.03.2020;0;"Gıdaya korona var diye zam yapan orospu çocuğudur.""";;;
11.03.2020;0;"Korona virüsünden korunmak için Rey Mysterio olmaya gerek yok. Mesela ben Undertaker oldum""";;;
11.03.2020;0;"Adam olmak cinsiyet meselesi değil şahsiyet meselesi. . . ! #kolonya #koronawirus #CoronaVirusu #Corona #Korona https://t.co/LQ8UgaCW0x""";;;
11.03.2020;0;"Kolonya dezenfektan ,maske fiyatlarında iki günde nasıl zam yapılmış,nasıl artış olmuş. Fırsatçılar!Virüsten daha tehlikelisiniz!  Sorsan müslüman ülke! Din olunca ahlaka ihtiyaçları yok sanıyorlar! #CoronaVirusu #kolonya #mgros #Corona #koronawirus #Korona #COVID19 #coronavirus""";;;
11.03.2020;1;"Artık korona düşünsün ????#CoronaVirusu https://t.co/LCdBRMFz9k""";;;
11.03.2020;0;"Wuhan'dan çıktı yola  Tahran'da verdi mola Yayıldı sağa sola Yaktın bizi Corona  Sınır tanımaz serbest Kırk iki millet derdest Çare olurmu abdest Yaktın bizi Corona  Trabzon'dan horona Kayseri'de korona Nasıl gidilir sor ona Yaktın bizi Corona..??????""";;;
11.03.2020;0;"Delikanlı korona nerdesin hani?""";;;
11.03.2020;0;"Herşeyin stoğunun anlarım fakat bir market arabası “Sade soda” stoğu nedir amcacım?????????? #coronaturkiye #Korona #bim #coronawirus""";;;
11.03.2020;1;"Korona sebebiyle okula gelmeyin yoklama almayacağım diyen adam gibi adam hocamızz""";;;
11.03.2020;0;"Keşke korona ben olsaydım o zaman kalbine ulaşmam daha kolay olurdu""";;;
11.03.2020;0;"Avrupa'da hızla yayılan korona virüs nedeniyle ülkeler yeni tedbirler almaya devam ediyor. Virüs nedeniyle Slovakya hükümeti de ülke genelinde Olağanüstü Hal ilan etti. https://t.co/rsBzoFaawM""";;;
11.03.2020;1;"#TarafsızBölge  Oytun hoca ya biraz mola verin. Korona virüsü gibi hızla yayıldı programa""";;;
11.03.2020;0;"E hey korona virüsü ??kimleri yola getirdin öyle Türkiye bakanına teşekkür mü etti ne ???? https://t.co/iZTvhnTqLQ""";;;
11.03.2020;0;"TÜRKİYE DE İLK KORONAVİRÜS VAKASI ARDINDAN VİRÜS HAKKINDA NE DÜŞÜNÜYORSUNUZ?HALKIN NABZI.KORONA DAYI.                    https://t.co/YXA4cGRyur          #TürkOlmak""";;;
11.03.2020;0;"Senle Korona Arasında Seçim Yapacak Olsam Korona yı seçerim hiç değilse niyeti belli...""";;;
11.03.2020;1;"Danimarka'da koronavirüs nedeniyle tüm okullar tatil edildi https://t.co/x1yYkutgGG  #Korona #koronawirus #kolonya""";;;
11.03.2020;0;"Korona muhabbeti sal beni""";;;
11.03.2020;0;"İŞTE TÜRKİYE'DEKİ KORONA VİRÜS!TURİZM VE İHRACAT BÜYÜK VURGUN YİYECEK! S... https://t.co/x9Ij5FxKXN @YouTube aracılığıyla""";;;
11.03.2020;0;"#korona dan değilse de.. açlıktan ölcez bu gidişle galiba #makarna15 tl olamaz.un alıp evde makarna yaparim amk""";;;
11.03.2020;0;"Türkiye de bütün kanallar Korona Virüsü konuşurken benim yaşadığım şehirde 10 kişide virüs var bakın yaşadığım ülke değil şehir ama Korona Virüsü konuşan yok. Konuştukça insanları paniğe yönlendirdiklerini bilmiyor mu bu kanallar. @RTErdogan @abdullahciftcib @drfahrettinkoca""";;;
11.03.2020;0;"Değerli arkadaşlarım korona virüsü korkusundan kendinizi düşündüğünüz kadar keşke biz astım hastalarınıda düşünsenizde kolanyalarıda az kullansanız virüsten değilde kolanyadan ölücez bu gidişatla""";;;
11.03.2020;0;"Gıcık olduğum bazı tiplere bulaştırmak için korona virüsü satın almak istiyorum.İsteklilerin ....""";;;
11.03.2020;0;"Korona bile ülkeye geldi ben sana gelemedim wjkxjqkd""";;;
11.03.2020;0;"annemin korona virüsü temizliğine hazır değilim....... lütfen eğitim yuvalarını kapatmayın lütfen.....""";;;
11.03.2020;1;"Korona Günlerinde Sorular https://t.co/vINRIECBI6""";;;
11.03.2020;0;"Paris - dortmund maçı korona sebebiyle seyircisiz ama taraftarlar stadın yanında toplanmış birlikte tezahürat yapıyorlar. Dünya koskocaman bir trabzon""";;;
11.03.2020;0;"TÜRKİYE DE İLK KORONAVİRÜS VAKASI ARDINDAN VİRÜS HAKKINDA NE DÜŞÜNÜYORSUNUZ?HALKIN NABZI.KORONA DAYI.                 https://t.co/YXA4cGRyur       #kolonya""";;;
11.03.2020;1;"Alkolümüzü aldık kolla kendini korona https://t.co/svvxIlxuut""";;;
11.03.2020;0;"Kamu spotu : virüs değil fırsatçılar öldürür... #Corona #koronawirus #CoronaVirusu #Korona #coronaturkiye""";;;
11.03.2020;0;"Sabah metrodayken bir yaşlı çift yanıma gelip elime yüzüme öksürüp hapşurmaya başlamıştı sabahtan beri korona endişsi ile elimi yüzümü kolonyalayıp duruyorumm...""";;;
11.03.2020;1;"Oyy korona korona herkes tehlikeli der ona bilenler korkmaz ondan mevlanın askeri der ona  Cezaevlerine KoronaTedbiri""";;;
11.03.2020;1;"Sıcak su  Masaj Dolgit Havlu Ütü Korona ile ilgili olmayan bazı tedavi yöntemleri duymayı özleyenler gelsin... CANT MOVE!!  #CoronaVirusu""";;;
11.03.2020;0;"#CoronaVirusu Wuhan’dan çıktı yola  Tahran’da verdi mola Yayıldı saga sola  Yaktın bizi KORONA   Sınır tanımaz serbest  Kırk iki millet derbest  Çare olurmu abdest  Yaktın bizi korona  Trabzon’da horona  Kayseride korona  Nasıl gidilir sor ona Yaktın bizi korona.""";;;
11.03.2020;1;"Korona vurmayacak tek ülke #kolonya Cumhuriyeti""";;;
11.03.2020;0;"yok bangchana ırkçı derler yok changbine korona derler ot9 şarkıları yeniden kaydedilcek olur SALIN ULAN COCUKLARIMI SALIN""";;;
11.03.2020;0;"Şimdi korona düşünsün #kolonya https://t.co/cxPh5cbfRh""";;;
11.03.2020;0;"regl oldum acaba korona miyim""";;;
11.03.2020;0;"Dün evladına kıyamayanlar??? Bugün parmaklıkların ardında yuxlerce çocuk ve bebek mecburiyetler ve viruslerle başbasa yaşamaya mecbur edildiler @ihracfazlasi artık biraz vicdan???.                                Cezaevlerine korona tedbiri""";;;
11.03.2020;1;"Sizce gerçekten korona virüs diye bir şey var mı?""";;;
11.03.2020;1;"Elini göğsüne götürüp \""korona\"" demek belki de bir selamlaşma ritüeli olarak yerleşecek ve yüzlerce yıl sonra bile kullanılacak. Bilenler bilmeyenlere anlatacaklar \""bak bu aslında şuradan geliyor\"" diye.""";;;
11.03.2020;1;"Korona virüsünden korunmak için eve misafir kabul etmeyin diyor trt muhabiri bu önlem beni aşşırı mutlu etti hiç sevmem misafir""";;;
11.03.2020;0;"Korona morona oldu mu şimdi o kadar dert tasa var bide bu çıktı hem daha manita yapıp Niğde sokaklarında çılgınca gezecektik. #niğde""";;;
11.03.2020;0;"Korona Virüsü bir kaç ilde daha görülür ve vaka sayısı 100-200 bandını geçerse eğitim kurumlarının derhal tatil edilmesi gibi sert önlemleri hayta geçirmek zorunda kalacağız. En ufak bir tereddüt büyük pişmanlıklara yol açabilir. İlk ölümü beklemeyelim. #corona #coronavirüs #egt""";;;
11.03.2020;0;"Korona virüsünün belirtilerini okudukça aynı belirtilerde bende var gibi hissediyorum sanki şimdi ateşim çıktı biraz boğazım ağrıyor ahh benim psikolojim nasıl bir dertsin ?????+?""";;;
11.03.2020;0;"Kanks korona var ya gelemem""";;;
11.03.2020;0;"ya gerçekten kokoreçte kesin var korona bence her türlü virüs salgın hastalık vardır onun içinde uyarılarımı yapıyorum sağlık sizin seçiminizzz...""";;;
11.03.2020;0;"Korona şakalarından kusmama azcık kaldı YETER""";;;
11.03.2020;0;"Bir oğlak burcu olarak korona için alınması gereken hijyen önlemleri diye belirttikleri şeyleri ben yaşam tarzı haline getirmiş durumdayım zaten. Ama yine bir oğlak burcu olarak şansımı göz önüne alınca... ilk bana bulaşacağından neredeyse eminim ama ispatlayamam??""";;;
11.03.2020;0;"Zorla buluyorsun bişeyler ama sokakta korona kaptığını ögreniyorsun sonra karın bırakıp gidiyor seni hasta oldun diye""";;;
11.03.2020;0;"Korona virüsü   dünya ya yayılması  domuz  giribi vakası  akla getirdi  ancak korona virüsü arkasında  güç  ve dengeler çok  deha değişik korona virüsü  gerekçe  göstererek  petrol fiyatı  düşürülmesi  hayri elamet değil  küresel  güçlerin  projesi ne acaba""";;;
11.03.2020;0;"Korona ile savaşımız için Tolstoy'dan bir kuple:   \""O kadar büyük bir gayretle kendini haklı çıkarmaya uğraşıyordu ki, telkin etmek istediğinin aksine, insanın aklına ilk gelen korktuğu oluyordu.\"" Sivastopol Öyküleri""";;;
11.03.2020;0;"TÜRKİYE'DE İLK CORONA VAKASI GÖRÜLDÜ(Hangi şehirde olduğu belli oldu!)  Video'ya aşağıdaki linkten gidebilirsiniz. ???????????????? ?? https://t.co/TtiOQbywgI??   #Corona #kolonya #Korona #koronawirus https://t.co/YgLkyoJUSr""";;;
11.03.2020;0;"Ülkede korona var hatta okulumuzda bile olup olmadığı şüpheli. Yarın sabah dersimiz olan hoca e-mailden işleyeceği konuyu atmış ön hazırlık olsun diye. Ölsem mezar taşımın emailini bulup ona da atar konuları bu hoca""";;;
11.03.2020;0;"Bi küçük korona meselesi @Melianooo https://t.co/wb1xEDrxqw""";;;
11.03.2020;0;"şu korona virüsü bizim sektörü vurdu çok fena delleniyorum etkinlikler hep iptal oldu iş yok iş olmayınca deli patron bize boş yaptı bu arada toplantı üç saat sürmüş ben bir ara uyudum gözlerim açık djskskdkfkkfng""";;;
11.03.2020;0;"Bazı insanlardan uzak durmak gerekiyordu,  korona tuzu biberi oldu""";;;
11.03.2020;0;"Dünyada korona salgını varken hala yurtdışından insanların ülkeye girişine müsaade ediyoruz ve ayrıca gelen kişileri, virüsün ortaya çıkma süresine kadar (14 gün) gözetim altında tutmuyoruz ama yapılan açıklamalarda ise her türlü önlemi aldık diyoruz. Bile Bile Korona!!! #Korona""";;;
11.03.2020;1;"Korona esnafı.. https://t.co/HPzB8IrywA""";;;
11.03.2020;0;"Bademciğim şişmiş.... hayır korona değilim...her yerim ağrıyo.... hayır korona değilim...""";;;
11.03.2020;0;"Arkadaşlar merhaba diyanette görevli bir memur arkadaşım söyledi. Bu #CoronaVirüsü cinler vasıtasıyla insanlara musallat oluyormuş. Yatarken 99 defa “Korona orana burana korum haa” dediğiniz zaman musallat olmuyormuş. Bu zinciri bozmayalım bu gece hepimiz yapalım.""";;;
11.03.2020;1;"Eyyy korona bu bünye neler gördü sana mı yenik düşecek.""";;;
11.03.2020;1;"Bizde virüsün babası var.korona kim oluyo.""";;;
11.03.2020;0;"Korona orana burana korum ha ses kaydini yayan insanlardan hayir gelmez.Maske takin ve ellerinizi sik sik yikayin.""";;;
11.03.2020;0;"Korona virüsten en fazla etkilenen ülkelerin başında gelen İtalya’da bilanço ağırlaşıyor. Ülkede virüsten ölenlerin sayısı 827’ye yükseldi. Ölenlerden birinin  Varese Tabip Odası Başkanı 67 yaşındaki Roberto Stella olduğu açıklandı. https://t.co/3IEvnIYYBV""";;;
11.03.2020;0;"Korona Virüs Maske Ve Dezenfektan Stoklarını Tüketti, Kolonyaya Talep Arttı https://t.co/POANGDodCt""";;;
11.03.2020;0;"Bu virüslerin adını kim koyuyor.Neden fenerius virüs değilde korona virüs.?????????""";;;
11.03.2020;0;"Bir zamanlar Köyümüzde kuloru diye tavuk hastalığı vardı, bir salgın ile tüm tavuklar ölürdü, bence bu korona kuloridir! #Corona #CoronaVirusu #koronawirus #Korona""";;;
11.03.2020;0;"Kolonya Dükkanlarında Korona Virüsü Yoğunluğu https://t.co/cloh386iM8""";;;
11.03.2020;0;"Korona esprileri virüsün kendisinden daha rahatsız edici""";;;
11.03.2020;0;"Krizi fırsata çevirmek eyvallah da bu kadar da olmaz yaaa????  korona geldi sen gelmedin çağlaaaa hahahahajsksk https://t.co/s2v8rYEa3h""";;;
11.03.2020;0;"Ben galiba korona oldum geçmiş olsun arkadaşlar""";;;
11.03.2020;0;"2019 Aralık ile ulaştı sona. Çin'in yaptıkları yakışmaz insana. Nihayet dokundu İzzet-i Rahman'a. Kimin askeri, silahı, bir sorun ona..  Dünya aştı haddinden, saldırdı insana. İnsanlık fazla geldi döndü hayvana. Kul olmayınca Rahim ve Rahman'a. Taarruza geçti virüs olan korona..""";;;
11.03.2020;0;"Korona bizi rahat bırak""";;;
11.03.2020;0;"Korona yapay krizi olmasaydı dünya baharına başlangıç olacaktı. İnsanlar aydınalnmıştı, herkes sokağa çıkacaktı. Lakin herkes şu an bir yapay krizle uğraşıyor.""";;;
11.03.2020;1;"Korona varmış naber iii misin""";;;
11.03.2020;1;"Aleyküm korona aslan https://t.co/yihf08W184""";;;
